[2025-05-07 02:07:55,681] [INFO] [real_accelerator.py:239:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-05-07 02:07:55,882] [INFO] [real_accelerator.py:239:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-05-07 02:07:55,993] [INFO] [real_accelerator.py:239:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-05-07 02:07:55,994] [INFO] [real_accelerator.py:239:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[92mRank 1 | Step 0 | Forward Time: 1784.17 ms | Backward Time: 3053.26 ms  | Loss: 5.5076 | Iteration Time: 6016.34 ms | AR Time: 891.84 ms | AR Buffer Size: 12549804.00 KB[0m
[93mRank 2 | Step 0 | Forward Time: 1778.21 ms | Backward Time: 3077.03 ms  | Loss: 6.2920 | Iteration Time: 6899.36 ms | AR Time: 1753.16 ms | AR Buffer Size: 12549804.00 KB[0m
[94mRank 3 | Step 0 | Forward Time: 1785.29 ms | Backward Time: 3062.41 ms  | Loss: 6.2581 | Iteration Time: 6591.03 ms | AR Time: 1451.98 ms | AR Buffer Size: 12549804.00 KB[0m
[91mRank 0 | Step 0 | Forward Time: 1794.39 ms | Backward Time: 3051.45 ms  | Loss: 5.8359 | Iteration Time: 6140.05 ms | AR Time: 1002.45 ms | AR Buffer Size: 12549804.00 KB[0m
[93mRank 2 | Step 1 | Forward Time: 1499.21 ms | Backward Time: 3032.68 ms  | Loss: 5.3932 | Iteration Time: 4815.84 ms | AR Time: 117.94 ms | AR Buffer Size: 12549804.00 KB[0m
[94mRank 3 | Step 1 | Forward Time: 1492.94 ms | Backward Time: 3019.35 ms  | Loss: 5.8435 | Iteration Time: 4814.49 ms | AR Time: 136.21 ms | AR Buffer Size: 12549804.00 KB[0m

[92mRank 1 | Step 1 | Forward Time: 1489.86 ms | Backward Time: 3018.17 ms  | Loss: 6.1042 | Iteration Time: 4820.59 ms | AR Time: 146.46 ms | AR Buffer Size: 12549804.00 KB[0m
[91mRank 0 | Step 1 | Forward Time: 1489.28 ms | Backward Time: 3016.58 ms  | Loss: 5.9158 | Iteration Time: 4813.50 ms | AR Time: 141.09 ms | AR Buffer Size: 12549804.00 KB[0m
[94mRank 3 | Step 2 | Forward Time: 1492.03 ms | Backward Time: 3024.58 ms  | Loss: 1.1410 | Iteration Time: 4819.62 ms | AR Time: 137.20 ms | AR Buffer Size: 12549804.00 KB[0m
[93mRank 2 | Step 2 | Forward Time: 1498.81 ms | Backward Time: 3037.20 ms  | Loss: 0.9549 | Iteration Time: 4819.97 ms | AR Time: 118.06 ms | AR Buffer Size: 12549804.00 KB[0m
